architecture,fold,system_id,parent_family,structure,hnf_group,comparison,pure_coverage_distance_median,treatment_coverage_distance_median,coverage_distance_reduction,pure_force_component_rmse_ev_a,treatment_force_component_rmse_ev_a,force_component_rmse_reduction_ev_a
DPA2,fcc_to_bcc,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3.0,pure_pocc_seed_vs_pure,4.960231951961276,1.340655447164382,3.6195765047968944,0.5845637894213752,0.7413375111921056,-0.15677372177073035
DPA2,fcc_to_bcc,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4.0,pure_pocc_seed_vs_pure,5.432127776753763,2.579198319437646,2.852929457316117,0.94005668677447,0.7396295523744343,0.20042713440003568
DPA2,fcc_to_bcc,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4.0,pure_pocc_seed_vs_pure,5.432350480167885,2.671021693451697,2.7613287867161875,0.7649365055430863,0.7383853057707768,0.026551199772309575
DPA2,fcc_to_bcc,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4.0,pure_pocc_seed_vs_pure,5.441472759376545,2.625977895136208,2.815494864240337,0.7952971195751694,0.7130983676839681,0.0821987518912013
DPA2,fcc_to_bcc,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4.0,pure_pocc_seed_vs_pure,5.4730922037283785,2.578969895013417,2.8941223087149615,0.7470278733247169,0.7109242113781861,0.03610366194653081
DPA2,fcc_to_bcc,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4.0,pure_pocc_seed_vs_pure,5.400468453212614,2.742285269413846,2.658183183798768,0.6281031595228782,0.7233923309748634,-0.09528917145198523
DPA2,fcc_to_bcc,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4.0,pure_pocc_seed_vs_pure,5.395412733036429,2.733408818624248,2.6620039144121814,0.6855563776409026,0.7081433770499218,-0.022586999409019204
DPA2,fcc_to_bcc,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_44_H4C6,4.0,pure_pocc_seed_vs_pure,5.498576913671456,2.4581440136647648,3.040432900006691,0.7517340873809217,0.7590542436140252,-0.0073201562331034475
DPA2,fcc_to_bcc,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_45_H4C7,4.0,pure_pocc_seed_vs_pure,5.425115167796466,2.647108788948511,2.778006378847955,0.7418645876407879,0.7583844946158899,-0.016519906975101972
DPA2,fcc_to_bcc,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_46_H4C8,4.0,pure_pocc_seed_vs_pure,5.520309438178991,2.444979961257528,3.075329476921463,0.8203497546365934,0.7036867204029796,0.1166630342336138
