fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2,120,2.739652090964527,2.9369605921286275,3.5033131975045526,1.2886044047799294,3.7157680138528275
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3,300,1.1883083751097259,1.340655447164382,1.8556697549478403,0.0092447697417053,2.575439396217919
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4,300,2.5991431765424626,2.579198319437646,2.9881716912023704,1.8862523285662207,3.274685243303448
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4,300,2.646306059538126,2.671021693451697,3.041329241686499,1.9474748798380777,3.3437546896729406
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4,300,2.618903792263114,2.6259778951362076,3.0057352007814258,1.749543782779011,3.4688425089926938
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4,360,2.4750617606494263,2.5789698950134174,3.0449819422111655,0.7856194379511465,3.3890287207482945
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4,360,2.740942888593574,2.7422852694138466,3.178486379284802,1.5588909949488532,3.558041878147984
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4,360,2.7551657020121447,2.7334088186242473,3.2514814270237054,1.8183457984940716,3.686090493565581
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_44_H4C6,4,300,2.4469458744077595,2.4581440136647648,2.7357301218242216,1.7423326713715785,3.126028815453088
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_45_H4C7,4,360,2.4919197777965483,2.647108788948511,3.109011214675103,0.27330416442834,3.303379420182574
