architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,41,36.29777263747386,20.980421821133177,53.96011699514237,10000
DPA3,bcc_to_fcc,pure,primary,virial_component_rmse_mev_atom,meV/atom,41,180.89623805447684,154.34862561794452,207.38826140687164,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,41,206.13059514084776,180.18495232624275,233.04643264239718,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,41,207.45835073825725,142.67925590669,281.2751296554069,10000
DPA3,bcc_to_fcc,pure,primary,stress_component_rmse_gpa,GPa,41,1.4977965675363571,1.2769187819852093,1.7200543430562438,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,41,1.708244975177979,1.488807262730836,1.9351832080520177,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,41,1.7228902963418975,1.1847178471250803,2.333534787427178,10000
DPA4,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,1.3442599673586577,0.8388676374807207,1.954117638499743,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.5156904437657345,0.4603472662666694,0.5727896011316688,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.5709537108963973,0.3365384152924304,0.8368205709995948,10000
DPA4,fcc_to_bcc,pure,primary,force_component_mae_ev_a,eV/angstrom,42,0.5974990746113539,0.4845539939839598,0.7312668775327266,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,42,0.36463897310335375,0.3328692874188441,0.3964885373657546,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.25884164655405784,0.18582231302807584,0.33859367783442684,10000
DPA4,fcc_to_bcc,pure,primary,force_vector_rmse_ev_a,eV/angstrom,42,2.3283265620460756,1.4529613689418788,3.3846310338480676,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,42,0.8932020495799933,0.7973448542993098,0.9921006912071619,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,0.9889208360425522,0.5829016339852043,1.4494157457900971,10000
DPA4,fcc_to_bcc,pure,primary,energy_rmse_mev_atom,meV/atom,42,373.6973238632233,248.73583902870055,505.52650691190536,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,42,304.8620264423113,183.27405171302897,433.4994331816373,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,249.51887748999337,135.6646348994106,369.07832337546074,10000
DPA4,fcc_to_bcc,pure,primary,energy_mae_mev_atom,meV/atom,42,364.7820766692123,243.57554206911337,492.03907483198964,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,42,294.8022089680317,177.0420889968571,419.38378202608044,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,42,241.03768994944826,131.2294504342489,356.36551856909557,10000
DPA4,fcc_to_bcc,pure,primary,virial_component_rmse_mev_atom,meV/atom,42,635.0394740186944,380.327449200578,912.73507614636,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,42,602.9334784683699,384.3759760703507,826.9815111405554,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,42,555.3306806078921,316.5463613876265,804.6913871082261,10000
DPA4,fcc_to_bcc,pure,primary,stress_component_rmse_gpa,GPa,42,5.788910614406905,3.355854831574723,8.52787284371503,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,42,5.192321058408392,3.282659245053071,7.145938252364788,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,42,4.87762272786286,2.7676958318476883,7.047062676118816,10000
DPA4,bcc_to_fcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,41,0.5791902215082219,0.5479085901624194,0.609309817187783,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,1.0054332049979806,0.8035757765806444,1.2233265947370922,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.21057961755320928,0.19105025415811455,0.23020546136846257,10000
DPA4,bcc_to_fcc,pure,primary,force_component_mae_ev_a,eV/angstrom,41,0.4385214839175101,0.41318917221548795,0.4642807765669671,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,41,0.5371237639336103,0.4696497131168039,0.6113760607128881,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,41,0.16242238758318694,0.1480678878557374,0.17682962371350971,10000
DPA4,bcc_to_fcc,pure,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.0031868908993127,0.9490055160647435,1.0553555609197443,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.741461394673317,1.391834072769293,2.118863816334865,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,41,0.3647345966405815,0.3309087470008016,0.39872755527001164,10000
DPA4,bcc_to_fcc,pure,primary,energy_rmse_mev_atom,meV/atom,41,106.30174838496133,93.61210000926062,119.26220499489008,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,41,85.75268320088976,81.06180482999197,90.39403829902277,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,41,22.438323105337222,17.30244548767134,27.70987453036021,10000
DPA4,bcc_to_fcc,pure,primary,energy_mae_mev_atom,meV/atom,41,104.13747343061351,91.08313555444923,117.42036952500443,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,41,81.3619204048879,75.97378163986805,86.52876592012633,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,41,16.55822084812848,12.529062269553544,20.889451983915865,10000
DPA4,bcc_to_fcc,pure,primary,virial_component_rmse_mev_atom,meV/atom,41,164.1573721616347,149.15820654245846,179.48638729000433,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,41,240.38894792315918,219.40323869420837,259.81418362651067,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,41,120.05286832137247,100.02783873420874,139.94041766721136,10000
DPA4,bcc_to_fcc,pure,primary,stress_component_rmse_gpa,GPa,41,1.3544987083281752,1.2306012846566112,1.4809595693124296,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,41,1.9878352107238912,1.8122590181938252,2.1490969326455827,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,41,0.9973155807888493,0.8292607514518768,1.1646171874770384,10000
DPA2,equal_fold_mean,pure,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.836153343011918,0.9788336195272286,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7614712421838213,0.7223655596878512,0.8013962078188064,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.2883388908556271,0.24840609204475558,0.3308149503609557,10000
DPA2,equal_fold_mean,pure,primary,force_component_mae_ev_a,eV/angstrom,83,0.6569068478157765,0.6166116097503705,0.6989196684653963,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,83,0.5734305214729758,0.5477347843991313,0.5985648529035245,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,83,0.21232583921053588,0.18578361439079566,0.24082780159409675,10000
DPA2,equal_fold_mean,pure,primary,force_vector_rmse_ev_a,eV/angstrom,83,1.5678397185462338,1.4482600730152086,1.6953895611777035,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,83,1.318906879964964,1.2511738510172865,1.3880589489351993,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,83,0.4994176087600033,0.4302519723311478,0.5729883019285513,10000
DPA2,equal_fold_mean,pure,primary,energy_rmse_mev_atom,meV/atom,83,426.4864340063932,376.037701886626,478.0363872749049,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,83,173.17111539554804,131.81958817701,216.74193697241057,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,83,132.80850389329515,77.90414862027477,190.413642634778,10000
DPA2,equal_fold_mean,pure,primary,energy_mae_mev_atom,meV/atom,83,422.3649378365743,373.5163194999612,472.64323930017815,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,83,167.57121082492876,127.17333912114822,210.09912453822017,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,83,126.63128979762922,73.32299572450928,182.49197250045023,10000
DPA2,equal_fold_mean,pure,primary,virial_component_rmse_mev_atom,meV/atom,83,444.3912776499869,338.8106625696127,554.9522389394957,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,83,345.2420721078498,259.5448161067613,434.43206554363326,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,83,278.0977923391,187.06884330383343,371.9945899024514,10000
