architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,117.81880171005189,34.35227266307908,83.46652904697281,65.94109779538837,98.25570795852806,70.84313185630688,56.5452336769059,83.60017523896266,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,41,223.25732317532905,199.74501331324504,23.51230986208401,6.486772962320146,41.835227364901066,10.531484265633365,3.1214812111017833,17.683479082645206,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,223.25732317532905,247.39553751203903,-24.13821433670998,-89.7165578115223,30.963755457479234,-10.811835416370057,-37.87056911420756,14.98867175647399,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,199.74501331324504,247.39553751203903,-47.65052419879399,-114.7282053809475,9.26458641108837,-23.855676498950825,-53.44870184987569,4.941982827251729,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,41,1.8513901442379492,1.6607639633519522,0.19062618088599703,0.050692692851587735,0.34093088291380064,10.29638088326654,2.9427062668781847,17.49819529385389,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,1.8513901442379492,2.052708707833366,-0.2013185635954169,-0.7465055059095086,0.25625288665230683,-10.873913541236963,-38.01422006225718,14.88442936327767,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,1.6607639633519522,2.052708707833366,-0.3919447444814139,-0.9432487815723583,0.07643435576172594,-23.600267896609715,-52.767813573664796,4.930921271076129,unresolved,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.5399122039125817,0.33593080944082593,0.20398139447175573,0.15005079788396478,0.2567990980561968,37.78047486120221,28.715952569394894,46.4154306750872,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.5399122039125817,0.1594518057415531,0.38046039817102856,0.34246016192717665,0.41985553117280294,70.4670862065992,66.6158889233362,74.29085155453865,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.33593080944082593,0.1594518057415531,0.17647900369927283,0.13593014255818245,0.2156307478661146,52.53433110021411,45.660284886902886,58.275105447786956,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.3907886639187481,0.2317874533448681,0.15900121057388,0.12685372410959245,0.19065595467657387,40.687262772529955,32.988349046361236,48.35769393189424,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.3907886639187481,0.11482711404787908,0.275961549870869,0.2486065852681522,0.3043293496364629,70.61656986248872,66.82127485631817,74.31855868070743,improvement,10000
