run_id,orientation,temperature_K,chemical_seed,velocity_seed,strain_bin,strain_mean,stress_GPa_mean,raw_samples
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,15,0.01545,1.0696197,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,16,0.01645,1.1222517999999997,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,17,0.01745,1.1147679,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,18,0.01845,1.2423389999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,19,0.019450000000000002,1.302557,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,20,0.02045,1.3088899999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,21,0.02145,1.412406,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,22,0.02245,1.466449,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,23,0.023450000000000002,1.506883,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,24,0.02445,1.5237250000000002,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,25,0.02545,1.7198520000000002,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,26,0.026449999999999994,1.854898,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,27,0.027449999999999995,1.724964,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,28,0.028449999999999996,1.8591449999999998,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,29,0.029449999999999997,1.9282080000000001,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,30,0.030449999999999998,1.8935309999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,31,0.03144999999999999,2.0255920000000005,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,32,0.03244999999999999,2.039554,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,33,0.033449999999999994,2.058629,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,34,0.034449999999999995,2.248468,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,35,0.035449999999999995,2.2625140000000004,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,36,0.036449999999999996,2.243021,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,37,0.03745,2.371323,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,38,0.03845,2.427471,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,39,0.03945,2.432857,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,40,0.04045,2.466564,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,41,0.04145,2.554383,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,42,0.04245,2.5922509999999996,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,43,0.04345,2.654913,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,44,0.04445,2.755995,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,45,0.045450000000000004,2.758754,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,46,0.04645,2.795901,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,47,0.04745,2.8700970000000003,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,48,0.04845,2.9057830000000004,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,49,0.04945,2.905812,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,50,0.050449999999999995,2.9449319999999997,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,51,0.051449999999999996,3.0433059999999994,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,52,0.05245,3.123997,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,53,0.05345,3.113658,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,54,0.05445,3.1881250000000003,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,55,0.05545,3.220154,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,56,0.05645,3.377857,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,57,0.05744999999999999,3.339403,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,58,0.05844999999999999,3.3287129999999996,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,59,0.05944999999999999,3.273628,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,60,0.06044999999999999,3.375863,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,61,0.06144999999999999,3.4594860000000005,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,62,0.06244999999999999,3.528128,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,63,0.06344999999999999,3.514945,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,64,0.06444999999999998,3.486226,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,65,0.06544999999999998,3.5918579999999998,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,66,0.06644999999999998,3.740135,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,67,0.06744999999999998,3.678864,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,68,0.06844999999999998,3.71687,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,69,0.06944999999999998,3.7751069999999998,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,70,0.07044999999999998,3.8380489999999994,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,71,0.07144999999999999,3.7785130000000002,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,72,0.07244999999999999,3.832788,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,73,0.07344999999999999,3.8571169999999997,10
